Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"8.75000","1.28007","-17.82030"
"8.77500","1.28369","-17.84019"
"8.80000","1.28732","-17.87456"
"8.82500","1.29104","-17.88592"
"8.85000","1.29474","-17.92759"
"8.87500","1.29846","-17.93460"
"8.90000","1.30210","-17.97477"
"8.92500","1.30574","-17.98327"
"8.95000","1.30933","-18.01955"
"8.97500","1.31306","-18.04033"
"9.00000","1.31682","-18.06305"
"9.02500","1.32051","-18.09359"
"9.05000","1.32415","-18.10479"
"9.07500","1.32774","-18.14460"
"9.10000","1.33146","-18.15394"
"9.12500","1.33514","-18.19297"
"9.15000","1.33889","-18.20549"
"9.17500","1.34256","-18.23574"
"9.20000","1.34618","-18.25585"
"9.22500","1.34981","-18.28075"
"9.25000","1.35350","-18.30769"
"9.27500","1.35723","-18.32717"
"9.30000","1.36093","-18.35451"
"9.32500","1.36457","-18.37575"
"9.35000","1.36819","-18.40258"
"9.37500","1.37189","-18.42521"
"9.40000","1.37556","-18.44898"
"9.42500","1.37928","-18.47053"
"9.45000","1.38300","-18.49587"
"9.47500","1.38666","-18.51972"
"9.50000","1.39030","-18.54292"
"9.52500","1.39404","-18.56248"
"9.55000","1.39783","-18.58678"
"9.57500","1.40158","-18.60999"
"9.60000","1.40523","-18.62943"
"9.62500","1.40880","-18.65252"
"9.65000","1.41250","-18.67176"
"9.67500","1.41615","-18.69568"
"9.70000","1.41993","-18.72109"
"9.72500","1.42368","-18.73841"
"9.75000","1.42781","-18.76570"
"9.77500","1.43232","-18.77663"
"9.80000","1.43566","-18.80585"
"9.82500","1.43895","-18.81968"
"9.85000","1.44230","-18.84621"
"9.87500","1.44574","-18.86414"
"9.90000","1.44925","-18.88597"
"9.92500","1.45287","-18.91302"
