Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
10.325,15.13799,-69.65914,69.65914
10.35,15.1751,-69.6758,69.6758
10.375,15.21226,-69.68729,69.68729
10.4,15.24905,-69.64603,69.64603
10.425,15.28559,-69.54693,69.54693
10.45,15.32217,-69.41861,69.41861
10.475,15.35871,-69.26855,69.26855
10.5,15.39545,-69.10553,69.10553
10.525,15.43224,-68.91576,68.91576
10.55,15.46892,-68.71316,68.71316
10.575,15.50551,-68.50991,68.50991
10.6,15.54216,-68.31032,68.31032
10.625,15.57885,-68.11465,68.11465
10.65,15.61543,-67.91334,67.91334
10.675,15.65194,-67.66648,67.66648
10.7,15.68843,-67.45048,67.45048
10.725,15.725,-67.25982,67.25982
10.75,15.76177,-67.0703,67.0703
10.775,15.79862,-66.85352,66.85352
10.8,15.83557,-66.63204,66.63204
10.825,15.8724,-66.42559,66.42559
10.85,15.90915,-66.21613,66.21613
10.875,15.94636,-65.99842,65.99842
10.9,15.98372,-65.78502,65.78502
10.925,16.02037,-65.57637,65.57637
10.95,16.05681,-65.36674,65.36674
10.975,16.09333,-65.15894,65.15894
11,16.13,-64.94311,64.94311
11.025,16.16668,-64.726,64.726
11.05,16.2033,-64.51567,64.51567
11.075,16.23996,-64.31412,64.31412
11.1,16.27646,-64.1133,64.1133
11.125,16.31291,-63.9007,63.9007
11.15,16.34946,-63.68682,63.68682
11.175,16.38616,-63.47562,63.47562
11.2,16.4228,-63.27486,63.27486
11.225,16.45947,-63.07659,63.07659
11.25,16.49621,-62.86351,62.86351
11.275,16.53299,-62.66621,62.66621
11.3,16.57024,-62.45388,62.45388
11.325,16.60732,-62.22458,62.22458
11.35,16.64388,-62.00359,62.00359
11.375,16.68041,-61.76274,61.76274
11.4,16.71701,-61.52753,61.52753
11.425,16.7536,-61.3058,61.3058
11.45,16.79031,-61.08006,61.08006
11.475,16.82705,-60.84666,60.84666
11.5,16.86378,-60.62228,60.62228
11.525,16.90042,-60.40279,60.40279
11.55,16.93707,-60.16272,60.16272
11.575,16.97396,-59.9255,59.9255
11.6,17.01082,-59.70649,59.70649
11.625,17.0474,-59.47337,59.47337
11.65,17.08392,-59.24233,59.24233
11.675,17.12049,-59.0114,59.0114
11.7,17.15709,-58.75774,58.75774
11.725,17.19368,-58.51741,58.51741
11.75,17.23036,-58.28224,58.28224
11.775,17.26711,-58.05165,58.05165
11.8,17.30396,-57.81627,57.81627
11.825,17.34073,-57.57837,57.57837
11.85,17.37745,-57.33703,57.33703
11.875,17.41457,-57.09592,57.09592
11.9,17.45188,-56.86108,56.86108
11.925,17.48867,-56.62254,56.62254
11.95,17.52518,-56.38333,56.38333
11.975,17.56165,-56.14399,56.14399
12,17.59814,-55.89264,55.89264
12.025,17.63472,-55.65293,55.65293
12.05,17.67137,-55.42062,55.42062
12.075,17.70812,-55.18497,55.18497
12.1,17.74485,-54.929,54.929
12.125,17.78176,-54.65746,54.65746
12.15,17.819,-54.38976,54.38976
12.175,17.85598,-54.11757,54.11757
12.2,17.89245,-53.83351,53.83351
12.225,17.92888,-53.55483,53.55483
12.25,17.9654,-53.28761,53.28761
12.275,18.00203,-53.03071,53.03071
12.3,18.03866,-52.77057,52.77057
12.325,18.07535,-52.52036,52.52036
12.35,18.11196,-52.25634,52.25634
12.375,18.1486,-52.00349,52.00349
12.4,18.18535,-51.75808,51.75808
12.425,18.22212,-51.51788,51.51788
12.45,18.259,-51.27422,51.27422
12.475,18.29574,-51.01628,51.01628
12.5,18.33241,-50.74958,50.74958
12.525,18.36907,-50.49104,50.49104
12.55,18.40576,-50.22911,50.22911
12.575,18.44249,-49.95776,49.95776
12.6,18.47948,-49.68444,49.68444
12.625,18.51638,-49.41182,49.41182
12.65,18.55308,-49.14267,49.14267
12.675,18.58974,-48.87774,48.87774
12.7,18.62673,-48.59728,48.59728
12.725,18.66428,-48.31726,48.31726
12.75,18.701,-48.04918,48.04918
12.775,18.73746,-47.77684,47.77684
12.8,18.77394,-47.51244,47.51244
12.825,18.81054,-47.24643,47.24643
12.85,18.84723,-46.98034,46.98034
12.875,18.88404,-46.71804,46.71804
12.9,18.92081,-46.45111,46.45111
12.925,18.95745,-46.18173,46.18173
12.95,18.9941,-45.90426,45.90426
12.975,19.03086,-45.64627,45.64627
13,19.06756,-45.3802,45.3802
13.025,19.1042,-45.10999,45.10999
13.05,19.14097,-44.82883,44.82883
13.075,19.17792,-44.52407,44.52407
13.1,19.21455,-44.20679,44.20679
13.125,19.25113,-43.93678,43.93678
13.15,19.28774,-43.68807,43.68807
13.175,19.32434,-43.41471,43.41471
13.2,19.36095,-43.13578,43.13578
13.225,19.39758,-42.84807,42.84807
13.25,19.43424,-42.55714,42.55714
13.275,19.47105,-42.26403,42.26403
13.3,19.50872,-41.98009,41.98009
13.325,19.54595,-41.66936,41.66936
13.35,19.58244,-41.34596,41.34596
13.375,19.61893,-41.05146,41.05146
13.4,19.65551,-40.76676,40.76676
13.425,19.69225,-40.4566,40.4566
13.45,19.72897,-40.11848,40.11848
13.475,19.76568,-39.79169,39.79169
13.5,19.80231,-39.48838,39.48838
13.525,19.83892,-39.17633,39.17633
13.55,19.87562,-38.85591,38.85591
13.575,19.91251,-38.51106,38.51106
13.6,19.94918,-38.13878,38.13878
13.625,19.98582,-37.80255,37.80255
13.65,20.02254,-37.49519,37.49519
13.675,20.05929,-37.19719,37.19719
13.7,20.09596,-36.85631,36.85631
13.725,20.13248,-36.5168,36.5168
13.75,20.16916,-36.19507,36.19507
13.775,20.20622,-35.87329,35.87329
13.8,20.24287,-35.54182,35.54182
13.825,20.2794,-35.22449,35.22449
13.85,20.31589,-34.8886,34.8886
13.875,20.35252,-34.52569,34.52569
13.9,20.38923,-34.15977,34.15977
13.925,20.42595,-33.82497,33.82497
13.95,20.46258,-33.49373,33.49373
13.975,20.49928,-33.14985,33.14985
14,20.53617,-32.8133,32.8133
14.025,20.5731,-32.47133,32.47133
14.05,20.60998,-32.11308,32.11308
14.075,20.64737,-31.75468,31.75468
14.1,20.68436,-31.36385,31.36385
14.125,20.72081,-30.97159,30.97159
14.15,20.75738,-30.60477,30.60477
14.175,20.79399,-30.24229,30.24229
14.2,20.83053,-29.81879,29.81879
