Maximum CNC 25 LB,"1.16902",N
Time at Maximum CNC 25 LB,"71.88900",s
Extension at Maximum CNC 25 LB,"10.52107",mm
Rate 1,"0.14640",mm/s
Start date,"9/16/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"6.75000","0.98442","-5.32156"
"6.77500","0.98810","-5.34235"
"6.80000","0.99181","-5.35682"
"6.82500","0.99546","-5.37463"
"6.85000","0.99909","-5.39254"
"6.87500","1.00268","-5.40024"
"6.90000","1.00636","-5.42229"
"6.92500","1.01011","-5.43649"
"6.95000","1.01382","-5.45649"
"6.97500","1.01742","-5.46975"
"7.00000","1.02094","-5.48203"
"7.02500","1.02464","-5.50270"
"7.05000","1.02835","-5.51498"
"7.07500","1.03208","-5.53733"
"7.10000","1.03572","-5.54861"
"7.12500","1.03929","-5.56182"
"7.15000","1.04295","-5.58283"
"7.17500","1.04660","-5.59426"
"7.20000","1.05033","-5.61549"
"7.22500","1.05400","-5.62876"
"7.25000","1.05761","-5.64382"
"7.27500","1.06123","-5.66126"
"7.30000","1.06491","-5.67466"
"7.32500","1.06859","-5.69431"
"7.35000","1.07229","-5.70572"
"7.37500","1.07596","-5.72366"
"7.40000","1.07957","-5.74060"
"7.42500","1.08313","-5.75466"
"7.45000","1.08680","-5.77260"
"7.47500","1.09054","-5.78492"
"7.50000","1.09425","-5.80381"
"7.52500","1.09788","-5.81828"
"7.55000","1.10148","-5.83478"
"7.57500","1.10515","-5.85114"
"7.60000","1.10879","-5.86379"
"7.62500","1.11253","-5.88460"
"7.65000","1.11624","-5.89548"
"7.67500","1.11987","-5.91313"
"7.70000","1.12348","-5.93104"
"7.72500","1.12715","-5.94277"
"7.75000","1.13085","-5.96029"
"7.77500","1.13454","-5.97380"
"7.80000","1.13816","-5.99170"
"7.82500","1.14178","-6.00776"
"7.85000","1.14544","-6.02419"
"7.87500","1.14910","-6.03941"
"7.90000","1.15279","-6.05462"
"7.92500","1.15649","-6.07435"
"7.95000","1.16012","-6.09127"
"7.97500","1.16372","-6.11154"
"8.00000","1.16739","-6.13141"
"8.02500","1.17110","-6.15087"
"8.05000","1.17480","-6.16966"
"8.07500","1.17844","-6.18963"
"8.10000","1.18203","-6.21030"
"8.12500","1.18569","-6.22804"
"8.15000","1.18935","-6.24957"
"8.17500","1.19309","-6.26817"
"8.20000","1.19681","-6.28844"
"8.22500","1.20039","-6.30640"
"8.25000","1.20393","-6.32618"
"8.27500","1.20763","-6.34544"
"8.30000","1.21136","-6.36377"
"8.32500","1.21507","-6.38436"
"8.35000","1.21872","-6.40031"
"8.37500","1.22233","-6.41973"
"8.40000","1.22596","-6.43805"
"8.42500","1.22964","-6.45770"
"8.45000","1.23339","-6.47447"
"8.47500","1.23703","-6.49427"
"8.50000","1.24063","-6.51072"
"8.52500","1.24427","-6.52927"
"8.55000","1.24798","-6.54763"
"8.57500","1.25165","-6.56577"
"8.60000","1.25532","-6.58391"
